"Origin","Reside","Age","Gender","BldGrp","InRel","BldGrp_Prtnr","help_Ppl","Enyj_Grp","Chs_Wrds_Care","Take_Chrg","Get_Nervs_Talkng","Like_Ordr","Get_Upset","Modest_Achieve","Adventure","Enjy_attentn","Variety_Routine","Feel_Emo","Hard_Trust_Ppl","Avoid_Arguing","Avoid_alone","Detail_Orntd","Focus_on_present","Go_With_Flow","Talk_abt_Own_Feelngs","Fun_Party_Aftr_Wrk","Rarely_Insecure","AgeGroup"
"Côte d'Ivoire","USA",27,"Male","O+","Yes","O-","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly agree","Agree","Neutral","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Neutral","Agree","Agree","Strongly agree","20 - 29"
"Côte d'Ivoire","USA",25,"Female","A+","Yes","I don't know","Strongly Agree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Strongly agree","Strongly Agree","Strongly disagree","Neutral","Agree","Strongly agree","Disagree","Neutral","Strongly agree","Strongly agree","Neutral","Disagree","Neutral","Agree","20 - 29"
"Philippines","Canada",50,"Female","B+","Yes","B+","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Neutral","Strongly disagree","Strongly agree","Strongly Agree","Neutral","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Neutral","Neutral","Disagree","Strongly disagree","50 - 59"
"Côte d'Ivoire","USA",26,"Female","A+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Neutral","Strongly disagree","Agree","Agree","Neutral","Neutral","Agree","Strongly agree","Neutral","Strongly disagree","20 - 29"
"India","India",30,"Female","O+","Yes","A+","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Strongly agree","Neutral","30 - 39"
"Côte d'Ivoire","USA",27,"Female","A+","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Neutral","Neutral","Agree","Neutral","Disagree","Strongly agree","Disagree","Agree","20 - 29"
"Côte d'Ivoire","USA",29,"Male","AB+","Yes","A+","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","20 - 29"
"Japan","USA",18,"Female","O-","Yes","I don't know","Strongly Agree","Disagree","Agree","Neutral","Neutral","Agree","Strongly disagree","Strongly agree","Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","10 - 19"
"Côte d'Ivoire","USA",34,"Male","B+","Yes","O+","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Neutral","Strongly disagree","Strongly agree","30 - 39"
"Togo","USA",25,"Male","B+","No","I don't know","Strongly Agree","Agree","Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Agree","Strongly agree","Agree","Disagree","Disagree","Neutral","Strongly disagree","Neutral","Neutral","Disagree","Agree","20 - 29"
"Côte d'Ivoire","Canada",26,"Female","O-","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Disagree","Strongly agree","20 - 29"
"Côte d'Ivoire","Canada",28,"Female","B+","Yes","B+","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Neutral","20 - 29"
"Côte d'Ivoire","USA",28,"Male","O+","Yes","AB+","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly agree","Agree","Neutral","Strongly agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","20 - 29"
"Côte d'Ivoire","USA",28,"Female","AB+","Yes","I don't know","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","20 - 29"
"Côte d'Ivoire","USA",23,"Female","B+","Yes","A-","Agree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Strongly disagree","Agree","Agree","Disagree","Neutral","Neutral","Agree","20 - 29"
"Congo","USA",20,"Female","O+","Yes","I don't know","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Agree","20 - 29"
"Côte d'Ivoire","USA",40,"Male","A+","Yes","O+","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Agree","40 - 49"
"Côte d'Ivoire","Canada",16,"Female","O+","No","O+","Disagree","Strongly disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","10 - 19"
"Côte d'Ivoire","Canada",16,"Female","O+","No","I don't know","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral","Strongly agree","Neutral","Disagree","10 - 19"
"Switzerland","USA",23,"Female","O-","Yes","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Neutral","Neutral","Strongly disagree","Strongly agree","Neutral","Neutral","20 - 29"
"Côte d'Ivoire","USA",27,"Male","A+","Yes","I don't know","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly disagree","Strongly Agree","Agree","Strongly agree","Neutral","Neutral","Disagree","Strongly agree","Neutral","Strongly disagree","Disagree","Strongly agree","Agree","Disagree","Strongly agree","Disagree","Disagree","20 - 29"
"Congo","USA",30,"Male","O-","No","N/A","Strongly disagree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Strongly disagree","Agree","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","Canada",27,"Female","O+","Yes","AB+","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Neutral","20 - 29"
"Côte d'Ivoire","USA",22,"Female","AB+","No","I don't know","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","20 - 29"
"Nigeria","Canada",26,"Female","AB+","No","I don't know","Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Agree","Disagree","Agree","Strongly disagree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","20 - 29"
"Côte d'Ivoire","USA",26,"Female","A+","Yes","I don't know","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Strongly agree","Neutral","Neutral","Disagree","Agree","Disagree","Strongly disagree","Neutral","Neutral","Disagree","20 - 29"
"Côte d'Ivoire","USA",26,"Female","A+","Yes","I don't know","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Strongly agree","Neutral","Neutral","Disagree","Agree","Disagree","Strongly disagree","Neutral","Neutral","Disagree","20 - 29"
"India","India",33,"Female","AB+","No","I don't know","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Strongly agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","30 - 39"
"Côte d'Ivoire","Canada",29,"Male","B+","Yes","I don't know","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Neutral","Disagree","20 - 29"
"Côte d'Ivoire","Spain",25,"Female","O+","Yes","O+","Neutral","Strongly disagree","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Neutral","Strongly disagree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","20 - 29"
"Côte d'Ivoire","USA",30,"Female","A-","Yes","O+","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly disagree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","30 - 39"
"Côte d'Ivoire","USA",21,"Male","B-","Yes","I don't know","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Agree","Disagree","Strongly disagree","Agree","Disagree","Neutral","Agree","Disagree","Neutral","20 - 29"
"India","USA",22,"Male","O+","No","N/A","Agree","Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","20 - 29"
"India","USA",26,"Male","B+","No","I don't know","Strongly Agree","Strongly Agree","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","20 - 29"
"Brazil","Canada",31,"Female","O+","Yes","A+","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Strongly agree","Disagree","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","30 - 39"
"India","USA",25,"Male","B+","No","N/A","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Agree","Strongly agree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Strongly disagree","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",26,"Male","A+","Yes","A+","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Strongly agree","Neutral","Neutral","Disagree","Neutral","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","20 - 29"
"Côte d'Ivoire","USA",19,"Female","O+","Yes","I don't know","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Disagree","Disagree","Strongly agree","10 - 19"
"India","USA",23,"Male","O+","No","I don't know","Strongly disagree","Strongly disagree","Strongly Agree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","20 - 29"
"India","USA",23,"Male","B+","No","N/A","Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","20 - 29"
"India","USA",23,"Male","B+","No","N/A","Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","20 - 29"
"India","USA",26,"Female","AB+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Strongly agree","Disagree","20 - 29"
"India","USA",26,"Female","A+","No","N/A","Agree","Agree","Strongly Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Neutral","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",23,"Female","O+","Yes","O+","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Disagree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Agree","Agree","20 - 29"
"Cameroun","Cameroon",28,"Female","O+","No","I don't know","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Strongly disagree","Agree","20 - 29"
"Haiti","Canada",30,"Male","B+","Yes","O-","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Neutral","Disagree","Neutral","Strongly disagree","Disagree","Agree","Neutral","30 - 39"
"Côte d'Ivoire","USA",28,"Male","B+","Yes","B+","Strongly Agree","Agree","Agree","Strongly Agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly Agree","Neutral","Strongly agree","Agree","Neutral","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Strongly agree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",27,"Female","O-","Yes","O-","Strongly Agree","Strongly Agree","Strongly disagree","Strongly Agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neutral","20 - 29"
"India","USA",20,"Male","B+","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Neutral","20 - 29"
"USA","USA",26,"Female","B+","No","AB+","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","20 - 29"
"India","USA",21,"Male","O+","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","Neutral","Strongly disagree","Neutral","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Agree","Neutral","Strongly agree","Strongly disagree","Strongly agree","Neutral","Strongly agree","20 - 29"
"Côte d'Ivoire","USA",33,"Female","O+","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly disagree","Agree","Disagree","Neutral","Strongly Agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly disagree","Strongly disagree","Disagree","Neutral","Agree","Disagree","Agree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",25,"Female","O+","No","N/A","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Strongly agree","Neutral","Neutral","Disagree","Strongly agree","Agree","Neutral","Agree","Disagree","Strongly disagree","20 - 29"
"Nigeria","Azerbaijan",28,"Female","O+","Yes","O+","Agree","Strongly Agree","Strongly Agree","Agree","Strongly disagree","Neutral","Strongly Agree","Neutral","Strongly Agree","Disagree","Strongly agree","Agree","Agree","Strongly disagree","Agree","Neutral","Strongly disagree","Agree","Neutral","Disagree","Strongly agree","20 - 29"
"Côte d'Ivoire","France",23,"Male","O+","Yes","O+","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly disagree","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Neutral","Agree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",29,"Male","A+","Yes","O-","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",27,"Female","O+","No","N/A","Strongly Agree","Agree","Agree","Strongly Agree","Strongly disagree","Neutral","Strongly disagree","Disagree","Neutral","Neutral","Strongly agree","Agree","Strongly disagree","Strongly disagree","Neutral","Strongly agree","Neutral","Disagree","Agree","Neutral","Strongly agree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",31,"Female","B+","Yes","I don't know","Agree","Agree","Agree","Agree","Disagree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",26,"Female","A+","Yes","I don't know","Agree","Disagree","Strongly Agree","Strongly disagree","Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Neutral","Agree","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Disagree","Disagree","Strongly disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",27,"Female","O+","Yes","O-","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Neutral","Disagree","Agree","Neutral","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",30,"Female","O+","Yes","O+","Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Neutral","Agree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",28,"Male","O+","Yes","O-","Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Strongly Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",23,"Male","B-","No","N/A","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","20 - 29"
"Nigeria","Monaco",28,"Male","A+","Yes","I don't know","Strongly Agree","Agree","Strongly Agree","Agree","Strongly disagree","Strongly Agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Disagree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","20 - 29"
"Côte d'Ivoire","USA",25,"Male","A+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Disagree","Disagree","Agree","Neutral","Agree","Disagree","20 - 29"
"Kenya","Kenya",29,"Male","B+","No","N/A","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly disagree","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly disagree","Disagree","Strongly agree","Agree","Strongly disagree","Agree","20 - 29"
"Nigeria","Nigeria",26,"Male","A+","No","N/A","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Strongly Agree","Disagree","Neutral","Strongly agree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Neutral","Disagree","Strongly disagree","20 - 29"
"Côte d'Ivoire","France",25,"Female","O+","No","N/A","Agree","Agree","Strongly Agree","Neutral","Strongly agree","Disagree","Agree","Neutral","Neutral","Strongly disagree","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Neutral","Agree","Disagree","Strongly disagree","Disagree","Strongly agree","20 - 29"
"Nigeria","Canada",31,"Female","AB+","Yes","O+","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",31,"Female","A+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly disagree","Agree","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly agree","30 - 39"
"Côte d'Ivoire","China",25,"Female","O+","No","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Agree","Neutral","Agree","Neutral","Strongly agree","Disagree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Disagree","20 - 29"
"Nigeria","Nigeria",30,"Male","AB+","Yes","A+","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Strongly agree","Disagree","Strongly disagree","Neutral","Strongly disagree","Agree","30 - 39"
"Nigeria","Nigeria",26,"Male","O+","Yes","O-","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly disagree","Disagree","Neutral","Strongly agree","Disagree","Disagree","Disagree","Disagree","Agree","20 - 29"
"Nigeria","Nigeria",25,"Male","O-","No","I don't know","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Disagree","Neutral","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",29,"Male","O+","Yes","O+","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","20 - 29"
"Nigeria","Nigeria",24,"Female","B+","Yes","A+","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Neutral","Strongly agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Neutral","20 - 29"
"Nigeria","England",24,"Female","O+","Yes","I don't know","Agree","Disagree","Agree","Neutral","Disagree","Strongly Agree","Disagree","Strongly agree","Disagree","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","20 - 29"
"Nigeria","Nigeria",29,"Female","O-","Yes","O+","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","20 - 29"
"Côte d'Ivoire","Canada",22,"Male","A+","Yes","I don't know","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Agree","20 - 29"
"Guinea","South Africa",21,"Male","A+","No","N/A","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Disagree","Agree","20 - 29"
"Congo","Congo",20,"Female","O+","Yes","I don't know","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Strongly agree","Agree","Agree","Disagree","Neutral","Strongly agree","Neutral","Neutral","Neutral","Agree","Neutral","20 - 29"
"Côte d'Ivoire","USA",29,"Male","AB+","Yes","I don't know","Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Agree","Disagree","Strongly agree","Neutral","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Disagree","Agree","20 - 29"
"Cameroon","Cameroon",30,"Female","O+","No","N/A","Neutral","Disagree","Strongly Agree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Strongly disagree","Agree","Strongly agree","Agree","Neutral","Strongly disagree","Agree","Neutral","Disagree","Strongly disagree","Strongly disagree","Disagree","30 - 39"
"Nigeria","Nigeria",30,"Male","AB+","Yes","A+","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Strongly agree","Disagree","Strongly disagree","Neutral","Strongly disagree","Agree","30 - 39"
"Côte d'Ivoire","USA",20,"Female","O+","Yes","I don't know","Strongly Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Agree","20 - 29"
"Nigeria","Nigeria",28,"Male","O+","Yes","O+","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly disagree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Neutral","Neutral","Strongly agree","Disagree","Disagree","Agree","Agree","Neutral","20 - 29"
"Côte d'Ivoire","Senegal",27,"Male","O+","No","I don't know","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Neutral","Disagree","Disagree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree","20 - 29"
"USA","USA",34,"Female","O+","Yes","B+","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","30 - 39"
"Morocco","Côte d'Ivoire",27,"Female","B+","No","N/A","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","20 - 29"
"India","USA",22,"Male","B+","No","I don't know","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Agree","Agree","20 - 29"
"Nigeria","USA",23,"Female","O+","No","N/A","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Strongly agree","Neutral","Neutral","Disagree","Neutral","Disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","20 - 29"
